"","genes","logFC","logCPM","F","PValue","FDR"
"RARS","RARS",-0.256584068791025,6.25764578788294,0.229793951841414,0.63167758615764,1
"LOC101104133","LOC101104133",0.217187442044225,6.9916055782133,0.229561717800368,0.631849932134462,1
"CCDC117","CCDC117",-0.231601055970179,6.66245656000068,0.229496101796221,0.631898646631129,1
"PDE7B","PDE7B",-0.246221458227051,6.40679907446468,0.229342414610788,0.632012780272998,1
"PHB","PHB",0.300806753836578,5.73939545224337,0.2292852509299,0.632055244077341,1
"RAB29","RAB29",-1.10409934307251,2.48271709723823,0.229206697832669,0.632113607537413,1
"LRP11","LRP11",-0.425502641987141,4.84365255643639,0.229176794368167,0.63213582847457,1
"LOC105605487","LOC105605487",0.957655707407085,2.90896660005578,0.228942436075569,0.632310039293045,1
"RNF25","RNF25",1.33475042545888,1.78522510202762,0.228906793772885,0.632336543686257,1
"LOC101103233","LOC101103233",-1.54650471242174,0.678465830632809,0.228902944835269,0.632339405991869,1
"EXOC3","EXOC3",0.464882600505572,4.67027756736992,0.228837512531684,0.632388069983344,1
"GPN3","GPN3",0.863262604868169,3.17819611706917,0.22870371650703,0.632487604771091,1
"NDUFS3","NDUFS3",0.2797113562741,5.95993887999216,0.228636562441074,0.63253757613495,1
"LOC101116326","LOC101116326",1.04825648398152,2.65451996867896,0.228408846822196,0.632707093342549,1
"CWF19L2","CWF19L2",-0.38238307830374,5.10153858186286,0.228342390083792,0.632756584969159,1
"DNAH11","DNAH11",1.35893640946139,1.67863674149393,0.22834054362836,0.632757960186765,1
"LAMA2","LAMA2",-0.178052646049533,8.51682450306341,0.228305624992301,0.632783968449282,1
"RANGRF","RANGRF",1.19826184952928,2.23118163996203,0.228292151288051,0.632794004650169,1
"LOC105611038","LOC105611038",1.58916848749314,0.24827071914492,0.227814566591771,0.6331499798846,1
"PPEF1","PPEF1",-0.710007726488632,3.67787024874607,0.227797555235558,0.633162668012618,1
"UBE4B","UBE4B",0.444385071852258,4.74319032236013,0.227745274514018,0.633201665869176,1
"CCNC","CCNC",-0.270539145341852,6.04317981245423,0.227195744706779,0.63361191050518,1
"NBEA","NBEA",-0.254907324010765,6.25454643344408,0.227181712084011,0.633622394354333,1
