"","genes","logFC","logCPM","F","PValue","FDR"
"CXCR5","CXCR5",-4.35720166880774,0.496778728602949,1.7099490268292,0.190994662528587,0.94226151814353
"GEMIN5","GEMIN5",-1.05748945110402,5.08963559383406,1.70952944425077,0.191049112288813,0.94226151814353
"FLYWCH2","FLYWCH2",4.5725357112413,0.318644246440118,1.7093747103114,0.191069196877095,0.94226151814353
"IL1R1","IL1R1",-1.70240410191976,4.03950078484763,1.70920390279425,0.191091370688701,0.94226151814353
"MYO5A","MYO5A",-1.97307772217021,3.70419882228749,1.7088544973195,0.191136738999322,0.94226151814353
"TEFM","TEFM",1.60448917690606,4.16843647039107,1.70864292395234,0.191164216703752,0.94226151814353
"USP44","USP44",3.50328643300366,2.25417552599519,1.70828766653375,0.191210365477815,0.94226151814353
"LOC106991403","LOC106991403",3.56631246510185,2.20491787024441,1.70822067118617,0.191219069787555,0.94226151814353
"STARD9","STARD9",1.53286124058068,4.2710330797781,1.70820243684722,0.191221438947526,0.94226151814353
"KDR","KDR",0.678259820939855,6.37619381887634,1.70708867634739,0.191366213108763,0.94226151814353
"TBCA","TBCA",-1.41937774599514,4.43515376916239,1.70687901034256,0.191393481222571,0.94226151814353
"ITIH2","ITIH2",4.26891904295792,0.84348954574695,1.70624763586257,0.191475622021515,0.94226151814353
"DLG5","DLG5",-3.42083287728698,2.3488831549275,1.70623717973037,0.191476982693622,0.94226151814353
"LOC105609897","LOC105609897",-4.13779197179856,0.86193466935686,1.70622773530405,0.191478211720629,0.94226151814353
"SCN7A","SCN7A",3.99144287796998,1.25001955617171,1.70548005489131,0.191575538475276,0.94226151814353
"SIK3","SIK3",-1.09114347249837,5.02134987579723,1.70353297283345,0.191829264316907,0.94226151814353
"NUDT18","NUDT18",4.61852211262116,1.01466622427385,1.70352797155297,0.191829916542634,0.94226151814353
"MTPAP","MTPAP",1.1119219183675,4.97785343635083,1.70251375163982,0.191962236237896,0.94226151814353
"KCNJ15","KCNJ15",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"LOC101115343","LOC101115343",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"LOC101120877","LOC101120877",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"LOC105610782","LOC105610782",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"LOC105615596","LOC105615596",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"LOC105615823","LOC105615823",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"LUZP2","LUZP2",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"MAGI2","MAGI2",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"NDUFA4L2","NDUFA4L2",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"SMAD7","SMAD7",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"TRNAY-GUA","TRNAY-GUA",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"TSHZ3","TSHZ3",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"ZBTB12","ZBTB12",4.74207780003854,-0.0522373815626248,1.7022580285719,0.191995615836567,0.94226151814353
"ADCYAP1R1","ADCYAP1R1",4.42866494771384,0.554747638810117,1.70164125430511,0.192076151425196,0.94226151814353
"SATB1","SATB1",-0.764962157223228,5.94935231228071,1.70044268882187,0.192232767490301,0.94226151814353
"LOC101106404","LOC101106404",-3.18243822919034,2.52986004458492,1.69789474307958,0.192566202213009,0.94226151814353
"CABP7","CABP7",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"CAPNS2","CAPNS2",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"CD3E","CD3E",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"DLGAP1","DLGAP1",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"GPR142","GPR142",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC101108654","LOC101108654",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC101110133","LOC101110133",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC105604253","LOC105604253",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC105605281","LOC105605281",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC105605344","LOC105605344",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC105605527","LOC105605527",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC105609949","LOC105609949",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC105612162","LOC105612162",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"LOC106991237","LOC106991237",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"PRSS35","PRSS35",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"ZNF668","ZNF668",-4.63595971292014,-0.0814793707196969,1.69785806795498,0.19257100660005,0.94226151814353
"XIAP","XIAP",-0.571115753941331,7.17765139859543,1.69750994792255,0.192616616780653,0.94226151814353
"PIK3CA","PIK3CA",-0.519728248417065,7.81662904542144,1.69656878836617,0.192739989317553,0.94226151814353
"HECA","HECA",0.726164572866545,6.11479321046457,1.69647823050308,0.192751865023239,0.94226151814353
"KBTBD4","KBTBD4",-3.04639997233815,2.64399896708115,1.6960638299556,0.192806220176731,0.94226151814353
