"","genes","logFC","logCPM","F","PValue","FDR"
"TCF25","TCF25",0.175580177719568,4.58708035127386,0.0308808760201495,0.860506733166271,1
"CCDC22","CCDC22",-0.518240629235606,1.38399384859666,0.0307920163218684,0.860705519159218,1
"CD3EAP","CD3EAP",-0.389693548307656,2.61269107054178,0.0307461641182857,0.860808209721532,1
"DYNLL1","DYNLL1",0.0954888770777264,6.17682320664535,0.0306921774517798,0.860929219444709,1
"GFOD2","GFOD2",-0.58359640757488,0.292309211396985,0.0306616695179749,0.86099765070498,1
"TSSC1","TSSC1",0.493426767501361,1.64293574898679,0.0306198500867942,0.861091511421587,1
"DNAJB11","DNAJB11",-0.330911706514196,3.03598845055243,0.0305744323261651,0.861193523190306,1
"XPO1","XPO1",0.0659679197936662,8.35214204012481,0.0305344652763467,0.8612833568546,1
"PDE5A","PDE5A",0.135053580956428,5.17687298296221,0.0305240038475556,0.861306880940051,1
"OMD","OMD",-0.463649336149011,1.91956447039612,0.030520648722941,0.861314426318746,1
"LOC101122140","LOC101122140",-0.258677878876667,3.66600033223995,0.0304927424503243,0.861377201627223,1
"MAPK9","MAPK9",0.0812314584120638,6.83791108521527,0.0304456778911089,0.861483140699626,1
"NRIP1","NRIP1",-0.0673157409832194,8.11350917630128,0.0304054316567778,0.861573799138875,1
"LOC106991479","LOC106991479",-0.358535833039593,2.80549716752031,0.0303866547494664,0.861616117044418,1
"LOC105606443","LOC105606443",-0.510244113915924,1.44847422743355,0.0303669637255535,0.861660509587901,1
"ATP13A2","ATP13A2",-0.585011810514959,0.173324135489451,0.0303610994177942,0.861673733276462,1
"ZNF436","ZNF436",-0.200045943898519,4.25826539681662,0.0302055582481772,0.862024951481506,1
"LRIG1","LRIG1",-0.190987178600051,4.36556976315013,0.0301430008458389,0.862166471243918,1
"PHLPP1","PHLPP1",-0.463732639455145,1.90977036820304,0.0300528066326787,0.862370778616382,1
"ZNHIT3","ZNHIT3",-0.516443397703705,1.24887627785701,0.0300483202841112,0.862380949304757,1
"SSBP3","SSBP3",0.460799130864731,1.91942722932467,0.0300424852237987,0.862394178733755,1
"PRKRIP1","PRKRIP1",-0.203525091242563,4.21102122752909,0.0300140684301585,0.862458625089492,1
"SLC39A9","SLC39A9",-0.199834361975877,4.26049563381038,0.0300073347228934,0.862473901047615,1
"EIF2AK2","EIF2AK2",0.141234092119315,5.04069124272034,0.0298849932929339,0.862751750470196,1
"FMO4","FMO4",-0.269397174983454,3.53896482173586,0.0298574242588004,0.862814443282962,1
"POMP","POMP",-0.098822298702381,6.01106995955351,0.0297488709071953,0.863061587085446,1
"CYB5A","CYB5A",0.499799595115023,1.47820508668519,0.0297003658256997,0.863172168859935,1
"SNRNP70","SNRNP70",0.493217112943876,1.56795036138657,0.0296594516947781,0.863265517115751,1
"LOC101108031","LOC101108031",0.543044352150071,0.665185831350992,0.0296531236484125,0.863279960884322,1
"LOC101116196","LOC101116196",-0.52616680901338,1.09341468409263,0.0296304912477273,0.863331632339902,1
"UFL1","UFL1",-0.0805621871262407,6.8082049581776,0.0295588050057976,0.863495431605541,1
"NDRG3","NDRG3",-0.312870599177495,3.15603942499008,0.0295477671013763,0.86352067079304,1
"DES","DES",0.0572067881762139,10.7931008763344,0.0295387449956922,0.86354130427572,1
"LOC105603125","LOC105603125",0.260449783434992,3.60339673328492,0.0295235892165008,0.863575972723565,1
"LOC105604280","LOC105604280",0.545751523992545,0.443754331773557,0.0294188710295839,0.863815763571398,1
"SH2B3","SH2B3",0.504752787424929,1.42066336973796,0.0293446453256381,0.863985996824384,1
"LSM14A","LSM14A",-0.102109307417585,5.87846171929415,0.029331281301306,0.864016670135861,1
"NDUFS7","NDUFS7",0.114893384677171,5.55119061315361,0.0293181829878088,0.864046740564196,1
"PHF10","PHF10",0.25906412418715,3.62864591707573,0.0293059038262163,0.864074936705789,1
"ZMYM3","ZMYM3",-0.437726278146617,2.0772402172109,0.0292917041667523,0.864107550390957,1
"RNF157","RNF157",-0.311542216529898,3.15522544070901,0.0292757924609342,0.864144105961756,1
"MXRA5","MXRA5",0.267147396593568,3.52327306625304,0.0292486222049669,0.864206550582943,1
"SYPL2","SYPL2",0.102854961516364,5.86382039643414,0.0292416034605754,0.864222686413471,1
"PHF1","PHF1",0.485231879424985,1.59676493247566,0.0292104729882462,0.864294278239714,1
"THOC1","THOC1",0.14651747198202,4.92963084668844,0.0291058044648668,0.864535276446043,1
"TBRG1","TBRG1",-0.199403559949335,4.22848380794794,0.0290635052991369,0.864632796349835,1
"USE1","USE1",0.451447598570363,1.95860762284762,0.0290206018564002,0.864731784031591,1
"TINAGL1","TINAGL1",0.384473128848189,2.53747888045101,0.0289679557020017,0.864853353231693,1
"DCUN1D4","DCUN1D4",-0.155191930180574,4.79479041867303,0.0289566722317633,0.864879423531042,1
"BZW1","BZW1",0.0677561780078188,7.80083842943191,0.0288415150543422,0.865145791994196,1
"MBNL3","MBNL3",0.407998865520149,2.31769068116926,0.0288173248853699,0.865201815434408,1
"AIP","AIP",-0.285719037665425,3.34402783235706,0.0288043291675732,0.86523192297387,1
"PPP2R3A","PPP2R3A",0.060231549855165,9.35338143924338,0.0287835345691138,0.865280112935467,1
"YKT6","YKT6",-0.168261158653424,4.5986170451728,0.0287777917667775,0.865293424615575,1
"MESDC2","MESDC2",0.323187572278688,3.01942131208494,0.0287405434167784,0.865379798604486,1
"MFSD1","MFSD1",0.240094517826064,3.76879182480602,0.0287279422057257,0.865409032176978,1
"ZNF582","ZNF582",0.418693565982604,2.21488159763315,0.0287001498608276,0.86547353101272,1
"ITGA3","ITGA3",0.525714139818985,0.880979289641324,0.0286862237087849,0.865505862087371,1
"TRIM7","TRIM7",-0.201126547616877,4.19075230777573,0.0286311818613297,0.865633726790534,1
"LOC101108868","LOC101108868",-0.314743489490285,3.10272585557958,0.0286259053554618,0.865645990990781,1
"CDK9","CDK9",-0.271994883978355,3.45926984830704,0.0285341749792034,0.865859386299225,1
"ASIP","ASIP",-0.325237074902115,2.98668151212605,0.0284921502940871,0.865957267500781,1
"DIABLO","DIABLO",0.149878312681676,4.84785204786303,0.0284792264279734,0.865987383865591,1
"LOC443297","LOC443297",-0.480079706340717,1.54350344599489,0.0283395970254617,0.866313210147251,1
"ZNF277","ZNF277",-0.149877130152989,4.83653874136527,0.0282712478095321,0.866473004489135,1
"LOC443411","LOC443411",0.380298497888658,2.53910540533931,0.0282630018207935,0.866492296292945,1
"LOC105602566","LOC105602566",0.354503015216128,2.72992653591124,0.028213033317909,0.866609261452056,1
"TET3","TET3",0.466570307115095,1.72552026128505,0.0281722719505697,0.866704753650235,1
"SCML2","SCML2",-0.48523367878377,1.44664298329691,0.0281605187136923,0.866732301305907,1
"LOC101107943","LOC101107943",0.360244016920391,2.68533438343211,0.028156830794573,0.86674094640048,1
"RASGRP1","RASGRP1",0.314465424835015,3.07301483466824,0.0281266166425697,0.866811795319003,1
"TKT","TKT",0.485785582881313,1.39871984790499,0.0280868685071979,0.866905060013753,1
"TTC19","TTC19",-0.328441066232054,2.94372912411402,0.028016773357818,0.867069696160281,1
"PPIH","PPIH",-0.403895220343968,2.28441137552088,0.0280131410512531,0.867078233315714,1
"TPCN1","TPCN1",0.302001230581417,3.16008457949767,0.0280057665900573,0.8670955675573,1
"TMEM259","TMEM259",-0.173626808078919,4.50214273610533,0.0280049331395844,0.867097526794674,1
"SETMAR","SETMAR",-0.331315610386068,2.9122686945457,0.0279985241857988,0.867112593672481,1
"HES1","HES1",-0.308120227588624,3.11526858477073,0.0279742491378076,0.867169678221054,1
"CCDC102B","CCDC102B",0.516791718844576,0.952466135025958,0.0279585972767037,0.867206498217343,1
"LOC101113505","LOC101113505",-0.494564748771881,1.38876340885007,0.0279314170069018,0.867270463235571,1
"LOC101111001","LOC101111001",0.577352060727769,0.176724344360798,0.0278259074365697,0.867519069093775,1
"KIAA0196","KIAA0196",-0.151583750191766,4.79153119248676,0.0277967217900745,0.867587922981856,1
"EPHX1","EPHX1",-0.302443319099532,3.16595986244948,0.0277100541779426,0.867792605822815,1
"ZNF672","ZNF672",-0.196791618523582,4.19403237456061,0.0276999008162577,0.867816606524788,1
"WIZ","WIZ",-0.519892925501257,0.630065246293515,0.0276477648674775,0.867939917696072,1
"STAT1","STAT1",-0.0672212078660104,7.69983033175797,0.0276477521759424,0.867939947728442,1
"WDR45B","WDR45B",0.386918686560491,2.42729704852262,0.0275179631025114,0.868247442909124,1
"LOC105604908","LOC105604908",-0.140004114251496,4.96458987746006,0.0275060977721073,0.868275591288882,1
"OLFML2B","OLFML2B",0.419095964044527,2.13550781723944,0.0275018479488713,0.868285674753664,1
"PLSCR4","PLSCR4",0.244113261995873,3.6706085413931,0.0274165221453341,0.868488295102281,1
"YEATS4","YEATS4",0.349760327063981,2.72560716225111,0.0274107709321121,0.868501963962858,1
"GTF2A1","GTF2A1",-0.0883814758611667,6.25174775344368,0.0274090852683956,0.86850597054496,1
