"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEC24C",82.3334756362285,-1.02180484323222,0.650528393928609,-1.57073058265979,0.116245242288322,0.999521470518766
"SEC24D",11.6010933943008,0.813250493696288,2.70025777914648,0.301175132232504,0.763280951581336,0.999521470518766
"SEC31A",83.0290934269846,-0.0757905646339821,0.631609807033472,-0.119995864202858,0.904486424174461,0.999521470518766
"SEC31B",17.1670964353398,-1.39525446703178,1.70588765602644,-0.817905248392368,0.413411293227762,0.999521470518766
"SEC61A1",24.390981637676,0.790598888770462,1.32896246326082,0.594899337360216,0.551910760256673,0.999521470518766
"SEC61A2",103.915638812229,-1.0436867895081,0.599000440511792,-1.74238067106656,0.0814418558379009,0.999521470518766
"SEC61B",13.3275475899997,1.10054965182704,1.83863494048365,0.59856887715706,0.549460415462556,0.999521470518766
"SEC62",178.452102671639,-0.30488716774584,0.601316276488278,-0.50703295365028,0.612131696725624,0.999521470518766
"SEC63",134.536670971203,-0.265957982060464,0.827559891532195,-0.32137611402125,0.747925382090939,0.999521470518766
"SECISBP2",46.7962262990239,0.315949954069978,0.942034138254334,0.335391193630689,0.737330010127893,0.999521470518766
"SECISBP2L",476.16607199496,0.0771660028087788,0.43135054880303,0.178893948374262,0.858020974633607,0.999521470518766
"SEL1L",97.7932941517486,-0.456059338386854,0.698819682444921,-0.652613756944088,0.514005314422139,0.999521470518766
"SEL1L2",2.91655804676452,-0.104455592770965,4.40735632392456,-0.0237002831388844,0.981091680158053,0.999521470518766
"SEL1L3",54.8279436549447,-1.41251151457793,1.41314637720703,-0.999550745316026,0.317527969662558,0.999521470518766
"SELENBP1",28.3140644556397,-1.52319568722497,1.69192914715682,-0.900271556752012,0.367975753861163,0.999521470518766
"SELL",0.278039107684444,2.78366970699032,4.31172651137082,0.64560442311201,0.51853557211103,0.999521470518766
"SELP",6.59865285642686,-0.456093789417033,2.94325770700765,-0.154962233966503,0.876851090521223,0.999521470518766
"SELPLG",0.741497808499453,-0.10443654972324,4.4073563239307,-0.0236959623972718,0.981095126643166,0.999521470518766
"SEMA3A",3.26634970120476,-0.104496640246954,4.40735632388574,-0.0237095965399104,0.981084251226707,0.999521470518766
"SEMA3B",7.16668923903038,3.38449982517505,3.00487627022541,1.12633583575844,0.260023394774577,0.999521470518766
"SEMA3C",919.257953125556,0.630057688304756,0.251530456952208,2.50489620994276,0.0122487330888485,0.861258793265962
